chrom1,start1,end1,genes1,idx1,chrom2,start2,end2,genes2,idx2
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
chr5,77600000,77700000,"OTP,WDR41",64,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
chr5,77900000,78000000,AC108482.1,65,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
chr5,123000000,123100000,"PRDM6,AC106786.1",66,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67,chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,77600000,77700000,"OTP,WDR41",64,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,77900000,78000000,AC108482.1,65,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,123000000,123100000,"PRDM6,AC106786.1",66,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68,chr5,154400000,154500000,"HAND1,AC026688.2",69
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,77600000,77700000,"OTP,WDR41",64,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,77900000,78000000,AC108482.1,65,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,123000000,123100000,"PRDM6,AC106786.1",66,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,154400000,154500000,"HAND1,AC026688.2",69,chr5,159000000,159100000,"EBF1,LINC02202",70
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,77600000,77700000,"OTP,WDR41",64,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,77900000,78000000,AC108482.1,65,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,123000000,123100000,"PRDM6,AC106786.1",66,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,154400000,154500000,"HAND1,AC026688.2",69,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,159000000,159100000,"EBF1,LINC02202",70,chr5,171300000,171400000,"TLX3,AC091980.2",71
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,173200000,173300000,NKX2-5,72
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,173200000,173300000,NKX2-5,72
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,173200000,173300000,NKX2-5,72
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,173200000,173300000,NKX2-5,72
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,173200000,173300000,NKX2-5,72
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,173200000,173300000,NKX2-5,72
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,173200000,173300000,NKX2-5,72
chr5,77600000,77700000,"OTP,WDR41",64,chr5,173200000,173300000,NKX2-5,72
chr5,77900000,78000000,AC108482.1,65,chr5,173200000,173300000,NKX2-5,72
chr5,123000000,123100000,"PRDM6,AC106786.1",66,chr5,173200000,173300000,NKX2-5,72
chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67,chr5,173200000,173300000,NKX2-5,72
chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68,chr5,173200000,173300000,NKX2-5,72
chr5,154400000,154500000,"HAND1,AC026688.2",69,chr5,173200000,173300000,NKX2-5,72
chr5,159000000,159100000,"EBF1,LINC02202",70,chr5,173200000,173300000,NKX2-5,72
chr5,171300000,171400000,"TLX3,AC091980.2",71,chr5,173200000,173300000,NKX2-5,72
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,174700000,174800000,MSX2,73
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,174700000,174800000,MSX2,73
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,174700000,174800000,MSX2,73
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,174700000,174800000,MSX2,73
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,174700000,174800000,MSX2,73
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,174700000,174800000,MSX2,73
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,174700000,174800000,MSX2,73
chr5,77600000,77700000,"OTP,WDR41",64,chr5,174700000,174800000,MSX2,73
chr5,77900000,78000000,AC108482.1,65,chr5,174700000,174800000,MSX2,73
chr5,123000000,123100000,"PRDM6,AC106786.1",66,chr5,174700000,174800000,MSX2,73
chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67,chr5,174700000,174800000,MSX2,73
chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68,chr5,174700000,174800000,MSX2,73
chr5,154400000,154500000,"HAND1,AC026688.2",69,chr5,174700000,174800000,MSX2,73
chr5,159000000,159100000,"EBF1,LINC02202",70,chr5,174700000,174800000,MSX2,73
chr5,171300000,171400000,"TLX3,AC091980.2",71,chr5,174700000,174800000,MSX2,73
chr5,173200000,173300000,NKX2-5,72,chr5,174700000,174800000,MSX2,73
chr5,42900000,43000000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,43000000,43100000,"ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3",58,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,50900000,51000000,"LINC02106,AC008808.2,AC008808.1",59,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,51300000,51400000,"ISL1,AC010478.1",60,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,55100000,55200000,"GPX8,CDC20B,MIR449A",61,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,55200000,55300000,"MCIDAS,CCNO,AC026704.1",62,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,73400000,73500000,"FOXD1,FOXD1-AS1,LINC01385",63,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,77600000,77700000,"OTP,WDR41",64,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,77900000,78000000,AC108482.1,65,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,123000000,123100000,"PRDM6,AC106786.1",66,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,135000000,135100000,"PITX1,C5orf66,AC008406.3",67,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,146300000,146400000,"POU4F3,AC091959.3,AC011396.2",68,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,154400000,154500000,"HAND1,AC026688.2",69,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,159000000,159100000,"EBF1,LINC02202",70,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,171300000,171400000,"TLX3,AC091980.2",71,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,173200000,173300000,NKX2-5,72,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr5,174700000,174800000,MSX2,73,chr5,181000000,181100000,"BTNL9,MIR8089",74
chr8,11600000,11700000,GATA4,102,chr8,23700000,23800000,"NKX2-6,AC012574.1",103
chr8,11600000,11700000,GATA4,102,chr8,26000000,26100000,EBF2,104
chr8,23700000,23800000,"NKX2-6,AC012574.1",103,chr8,26000000,26100000,EBF2,104
chr8,11600000,11700000,GATA4,102,chr8,54400000,54500000,"SOX17,AC091076.1",105
chr8,23700000,23800000,"NKX2-6,AC012574.1",103,chr8,54400000,54500000,"SOX17,AC091076.1",105
chr8,26000000,26100000,EBF2,104,chr8,54400000,54500000,"SOX17,AC091076.1",105
chr8,11600000,11700000,GATA4,102,chr8,64500000,64600000,,208
chr8,23700000,23800000,"NKX2-6,AC012574.1",103,chr8,64500000,64600000,,208
chr8,26000000,26100000,EBF2,104,chr8,64500000,64600000,,208
chr8,54400000,54500000,"SOX17,AC091076.1",105,chr8,64500000,64600000,,208
chr8,11600000,11700000,GATA4,102,chr8,71500000,71600000,TRAPPC2P2,106
chr8,23700000,23800000,"NKX2-6,AC012574.1",103,chr8,71500000,71600000,TRAPPC2P2,106
chr8,26000000,26100000,EBF2,104,chr8,71500000,71600000,TRAPPC2P2,106
chr8,54400000,54500000,"SOX17,AC091076.1",105,chr8,71500000,71600000,TRAPPC2P2,106
chr8,64500000,64600000,,208,chr8,71500000,71600000,TRAPPC2P2,106
chr8,11600000,11700000,GATA4,102,chr8,76600000,76700000,"ZFHX4,ZFHX4-AS1",107
chr8,23700000,23800000,"NKX2-6,AC012574.1",103,chr8,76600000,76700000,"ZFHX4,ZFHX4-AS1",107
chr8,26000000,26100000,EBF2,104,chr8,76600000,76700000,"ZFHX4,ZFHX4-AS1",107
chr8,54400000,54500000,"SOX17,AC091076.1",105,chr8,76600000,76700000,"ZFHX4,ZFHX4-AS1",107
chr8,64500000,64600000,,208,chr8,76600000,76700000,"ZFHX4,ZFHX4-AS1",107
chr8,71500000,71600000,TRAPPC2P2,106,chr8,76600000,76700000,"ZFHX4,ZFHX4-AS1",107
chr8,11600000,11700000,GATA4,102,chr8,98900000,99000000,"OSR2,STK3",108
chr8,23700000,23800000,"NKX2-6,AC012574.1",103,chr8,98900000,99000000,"OSR2,STK3",108
chr8,26000000,26100000,EBF2,104,chr8,98900000,99000000,"OSR2,STK3",108
chr8,54400000,54500000,"SOX17,AC091076.1",105,chr8,98900000,99000000,"OSR2,STK3",108
chr8,64500000,64600000,,208,chr8,98900000,99000000,"OSR2,STK3",108
chr8,71500000,71600000,TRAPPC2P2,106,chr8,98900000,99000000,"OSR2,STK3",108
chr8,76600000,76700000,"ZFHX4,ZFHX4-AS1",107,chr8,98900000,99000000,"OSR2,STK3",108
chr9,800000,900000,"DMRT1,DMRT2,DMRT3",109,chr9,14300000,14400000,"NFIB,AL136366.1",110
chr9,900000,1000000,"DMRT1,DMRT2,DMRT3",109,chr9,14300000,14400000,"NFIB,AL136366.1",110
chr9,1000000,1100000,"DMRT1,DMRT2,DMRT3",109,chr9,14300000,14400000,"NFIB,AL136366.1",110
chr9,800000,900000,"DMRT1,DMRT2,DMRT3",109,chr9,21900000,22000000,"CDKN2A,CDKN2A-DT,AL359922.1",111
chr9,900000,1000000,"DMRT1,DMRT2,DMRT3",109,chr9,21900000,22000000,"CDKN2A,CDKN2A-DT,AL359922.1",111
chr9,1000000,1100000,"DMRT1,DMRT2,DMRT3",109,chr9,21900000,22000000,"CDKN2A,CDKN2A-DT,AL359922.1",111
chr9,14300000,14400000,"NFIB,AL136366.1",110,chr9,21900000,22000000,"CDKN2A,CDKN2A-DT,AL359922.1",111
chr9,800000,900000,"DMRT1,DMRT2,DMRT3",109,chr9,37000000,37100000,"PAX5,AL161781.2",112
chr9,900000,1000000,"DMRT1,DMRT2,DMRT3",109,chr9,37000000,37100000,"PAX5,AL161781.2",112
chr9,1000000,1100000,"DMRT1,DMRT2,DMRT3",109,chr9,37000000,37100000,"PAX5,AL161781.2",112
chr9,14300000,14400000,"NFIB,AL136366.1",110,chr9,37000000,37100000,"PAX5,AL161781.2",112
chr9,21900000,22000000,"CDKN2A,CDKN2A-DT,AL359922.1",111,chr9,37000000,37100000,"PAX5,AL161781.2",112
chr9,800000,900000,"DMRT1,DMRT2,DMRT3",109,chr9,68300000,68400000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,900000,1000000,"DMRT1,DMRT2,DMRT3",109,chr9,68300000,68400000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,1000000,1100000,"DMRT1,DMRT2,DMRT3",109,chr9,68300000,68400000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,14300000,14400000,"NFIB,AL136366.1",110,chr9,68300000,68400000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,21900000,22000000,"CDKN2A,CDKN2A-DT,AL359922.1",111,chr9,68300000,68400000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,37000000,37100000,"PAX5,AL161781.2",112,chr9,68300000,68400000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,800000,900000,"DMRT1,DMRT2,DMRT3",109,chr9,68400000,68500000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,900000,1000000,"DMRT1,DMRT2,DMRT3",109,chr9,68400000,68500000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,1000000,1100000,"DMRT1,DMRT2,DMRT3",109,chr9,68400000,68500000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,14300000,14400000,"NFIB,AL136366.1",110,chr9,68400000,68500000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,21900000,22000000,"CDKN2A,CDKN2A-DT,AL359922.1",111,chr9,68400000,68500000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,37000000,37100000,"PAX5,AL161781.2",112,chr9,68400000,68500000,"PGM5,PGM5-AS1,AL161457.2",113
chr9,800000,900000,"DMRT1,DMRT2,DMRT3",109,chr9,77000000,77100000,FOXB2,114
chr9,900000,1000000,"DMRT1,DMRT2,DMRT3",109,chr9,77000000,77100000,FOXB2,114
chr9,1000000,1100000,"DMRT1,DMRT2,DMRT3",109,chr9,77000000,77100000,FOXB2,114
chr9,14300000,14400000,"NFIB,AL136366.1",110,chr9,77000000,77100000,FOXB2,114
chr9,21900000,22000000,"CDKN2A,CDKN2A-DT,AL359922.1",111,chr9,77000000,77100000,FOXB2,114
chr9,37000000,37100000,"PAX5,AL161781.2",112,chr9,77000000,77100000,FOXB2,114
chr9,68300000,68400000,"PGM5,PGM5-AS1,AL161457.2",113,chr9,77000000,77100000,FOXB2,114
chr9,68400000,68500000,"PGM5,PGM5-AS1,AL161457.2",113,chr9,77000000,77100000,FOXB2,114
chr9,800000,900000,"DMRT1,DMRT2,DMRT3",109,chr9,93900000,94000000,"BARX1,BARX1-DT",115
chr9,900000,1000000,"DMRT1,DMRT2,DMRT3",109,chr9,93900000,94000000,"BARX1,BARX1-DT",115
chr9,1000000,1100000,"DMRT1,DMRT2,DMRT3",109,chr9,93900000,94000000,"BARX1,BARX1-DT",115
chr9,14300000,14400000,"NFIB,AL136366.1",110,chr9,93900000,94000000,"BARX1,BARX1-DT",115
chr9,21900000,22000000,"CDKN2A,CDKN2A-DT,AL359922.1",111,chr9,93900000,94000000,"BARX1,BARX1-DT",115
chr9,37000000,37100000,"PAX5,AL161781.2",112,chr9,93900000,94000000,"BARX1,BARX1-DT",115
chr9,68300000,68400000,"PGM5,PGM5-AS1,AL161457.2",113,chr9,93900000,94000000,"BARX1,BARX1-DT",115
chr9,68400000,68500000,"PGM5,PGM5-AS1,AL161457.2",113,chr9,93900000,94000000,"BARX1,BARX1-DT",115
chr9,77000000,77100000,FOXB2,114,chr9,93900000,94000000,"BARX1,BARX1-DT",115
chr9,800000,900000,"DMRT1,DMRT2,DMRT3",109,chr9,97800000,97900000,"FOXE1,PTCSC2",116
